mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__alpha,param_feature_selection_1,param_feature_selection_2,param_feature_selection_3,param_vectorizer,param_vectorizer__norm,param_col_selector,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.2140540281931558,0.48548111836010716,0.7419758637746176,0.0648041987087865,BernoulliNB(),0.5,Bypassed(),Toeknizer(),PosHindi(),TfidfVectorizer(lowercase=False),l1,"ColumnSelector(cols='Message', drop_axis=True)","{'clf': BernoulliNB(), 'clf__alpha': 0.5, 'col_selector': ColumnSelector(cols='Message', drop_axis=True), 'feature_selection_1': Bypassed(), 'feature_selection_2': Toeknizer(), 'feature_selection_3': PosHindi(), 'vectorizer': TfidfVectorizer(lowercase=False), 'vectorizer__norm': 'l1'}",0.9883217299239629,0.9863018497757847,0.9939613526570048,0.9895283107855842,0.003241283092498774,11,0.9978182666044901,0.996711051505572,0.9968947478551997,0.997141355321754,0.000484487874453206
1.7161508401234944,0.1648722282092134,0.8486975034077963,0.12245722958344901,BernoulliNB(),0.5,MessageStemma(),Toeknizer(),PosHindi(),TfidfVectorizer(lowercase=False),l2,,"{'clf': BernoulliNB(), 'clf__alpha': 0.5, 'feature_selection_1': MessageStemma(), 'feature_selection_2': Toeknizer(), 'feature_selection_3': PosHindi(), 'vectorizer': TfidfVectorizer(lowercase=False), 'vectorizer__norm': 'l2'}",0.9882254804453142,0.9861967488789238,0.993929570302568,0.9894505998756019,0.0032736137021487552,12,0.9978432482845913,0.996782897467829,0.9969031178070726,0.9971764211864976,0.00047406540797372243
1.586918592453003,0.17160461856775608,0.9307420253753662,0.17982639192828342,BernoulliNB(),0.75,MessageStemma(),Toeknizer(),PosHindi(),TfidfVectorizer(lowercase=False),l2,,"{'clf': BernoulliNB(), 'clf__alpha': 0.75, 'feature_selection_1': MessageStemma(), 'feature_selection_2': Toeknizer(), 'feature_selection_3': PosHindi(), 'vectorizer': TfidfVectorizer(lowercase=False), 'vectorizer__norm': 'l2'}",0.9860759087554943,0.984234865470852,0.9926900584795322,0.9876669442352929,0.003630529587355142,13,0.9959446405968956,0.9944518951368267,0.9945093115714584,0.9949686157683936,0.0006905517171705218
0.48328836758931476,0.010024813414751206,0.2382174332936605,0.009224609289170608,BernoulliNB(alpha=0.25),0.75,Bypassed(),Toeknizer(),Bypassed(),TfidfVectorizer(lowercase=False),l2,"ColumnSelector(cols='Message', drop_axis=True)","{'clf': BernoulliNB(alpha=0.25), 'clf__alpha': 0.75, 'col_selector': ColumnSelector(cols='Message', drop_axis=True), 'feature_selection_1': Bypassed(), 'feature_selection_2': Toeknizer(), 'feature_selection_3': Bypassed(), 'vectorizer': TfidfVectorizer(lowercase=False), 'vectorizer__norm': 'l2'}",0.9867175719464854,0.9835692264573991,0.9926582761250954,0.9876483581763266,0.0037685079469828324,14,0.9958613683298914,0.9941565284031038,0.9945093115714585,0.9948424027681512,0.0007347707592521293
2.223477045694987,0.4830535220578396,0.7396765549977621,0.0699503632423572,BernoulliNB(),0.75,Bypassed(),Toeknizer(),PosHindi(),TfidfVectorizer(lowercase=False),l1,"ColumnSelector(cols='Message', drop_axis=True)","{'clf': BernoulliNB(), 'clf__alpha': 0.75, 'col_selector': ColumnSelector(cols='Message', drop_axis=True), 'feature_selection_1': Bypassed(), 'feature_selection_2': Toeknizer(), 'feature_selection_3': PosHindi(), 'vectorizer': TfidfVectorizer(lowercase=False), 'vectorizer__norm': 'l1'}",0.9861079919150438,0.9842348654708519,0.9925947114162217,0.9876458562673726,0.00358194789950954,15,0.9958946772366931,0.994427946482741,0.9945093115714585,0.9949439784302975,0.0006730657396208153
1.0740586121877034,0.4132997632900046,0.2434694766998291,0.002341303134011521,BernoulliNB(alpha=0.25),0.75,Bypassed(),Toeknizer(),Bypassed(),TfidfVectorizer(lowercase=False),l1,"ColumnSelector(cols='Message', drop_axis=True)","{'clf': BernoulliNB(alpha=0.25), 'clf__alpha': 0.75, 'col_selector': ColumnSelector(cols='Message', drop_axis=True), 'feature_selection_1': Bypassed(), 'feature_selection_2': Toeknizer(), 'feature_selection_3': Bypassed(), 'vectorizer': TfidfVectorizer(lowercase=False), 'vectorizer__norm': 'l1'}",0.9867175719464854,0.9835692264573991,0.9925947114162217,0.9876271699400355,0.003740353910874027,16,0.9958613683298914,0.9941565284031038,0.9945511613308224,0.9948563526879391,0.0007286865431886615
1.6461243629455566,0.1502086868377001,0.7514588038126627,0.06935282092454931,BernoulliNB(),0.75,Bypassed(),Toeknizer(),PosHindi(),TfidfVectorizer(lowercase=False),l2,"ColumnSelector(cols='Message', drop_axis=True)","{'clf': BernoulliNB(), 'clf__alpha': 0.75, 'col_selector': ColumnSelector(cols='Message', drop_axis=True), 'feature_selection_1': Bypassed(), 'feature_selection_2': Toeknizer(), 'feature_selection_3': PosHindi(), 'vectorizer': TfidfVectorizer(lowercase=False), 'vectorizer__norm': 'l2'}",0.985883409798197,0.984199831838565,0.9925947114162217,0.9875593176843278,0.0036262929843883496,17,0.9958863500099927,0.9944758437909123,0.9944674618120946,0.9949432185376664,0.0006669034387682452
2.232898394266764,0.4775900776424003,0.8334561189015707,0.055093770824892516,BernoulliNB(),0.75,MessageStemma(),Toeknizer(),PosHindi(),TfidfVectorizer(lowercase=False),l1,,"{'clf': BernoulliNB(), 'clf__alpha': 0.75, 'feature_selection_1': MessageStemma(), 'feature_selection_2': Toeknizer(), 'feature_selection_3': PosHindi(), 'vectorizer': TfidfVectorizer(lowercase=False), 'vectorizer__norm': 'l1'}",0.9859154929577465,0.984059697309417,0.9926900584795322,0.9875550829155652,0.003709175551160748,18,0.9959196589167945,0.994467860906217,0.9944758317639673,0.994954450528993,0.0006825131537463529
1.6253626346588135,0.19725423261487124,0.9348920186360677,0.1574941245279151,BernoulliNB(),1,MessageStemma(),Toeknizer(),PosHindi(),TfidfVectorizer(lowercase=False),l2,,"{'clf': BernoulliNB(), 'clf__alpha': 1, 'feature_selection_1': MessageStemma(), 'feature_selection_2': Toeknizer(), 'feature_selection_3': PosHindi(), 'vectorizer': TfidfVectorizer(lowercase=False), 'vectorizer__norm': 'l2'}",0.9833167570342327,0.9820978139013452,0.9913869819476226,0.9856005176277335,0.004121798360288531,19,0.9938711611484911,0.9923923108854615,0.9919899560577526,0.9927511426972351,0.000808827690842552
3.222855488459269,1.5098689709328736,0.9396541118621826,0.3464608378762039,BernoulliNB(),1,Bypassed(),Toeknizer(),PosHindi(),TfidfVectorizer(lowercase=False),l1,"ColumnSelector(cols='Message', drop_axis=True)","{'clf': BernoulliNB(), 'clf__alpha': 1, 'col_selector': ColumnSelector(cols='Message', drop_axis=True), 'feature_selection_1': Bypassed(), 'feature_selection_2': Toeknizer(), 'feature_selection_3': PosHindi(), 'vectorizer': TfidfVectorizer(lowercase=False), 'vectorizer__norm': 'l1'}",0.9829638422791876,0.9821328475336323,0.9914505466564963,0.985515745489772,0.0042102285554111215,20,0.9938545066950902,0.9923843280007663,0.991973216154007,0.9927373502832878,0.0008075816053542626
